"referance_time","referance_value","referance_device","device_time","device_value","device"
"2026-02-08 11:07:03","27.31","24sea0521","2026-02-08 11:07:04","1930","24sea0522"
"2026-02-08 11:07:08","27.31","24sea0521","2026-02-08 11:07:08","1963","24sea0522"
"2026-02-08 11:07:11","27.31","24sea0521","2026-02-08 11:07:11","1967","24sea0522"
"2026-02-08 11:07:18","27.31","24sea0521","2026-02-08 11:07:19","1990","24sea0522"
"2026-02-08 11:07:27","27.31","24sea0521","2026-02-08 11:07:27","1967","24sea0522"
"2026-02-08 11:07:49","27.31","24sea0521","2026-02-08 11:07:50","1963","24sea0522"
"2026-02-08 11:07:53","27.31","24sea0521","2026-02-08 11:07:53","1925","24sea0522"
"2026-02-08 11:07:56","27.31","24sea0521","2026-02-08 11:07:57","1970","24sea0522"
"2026-02-08 11:08:00","27.37","24sea0521","2026-02-08 11:08:00","1959","24sea0522"
"2026-02-08 11:08:10","27.31","24sea0521","2026-02-08 11:08:11","1961","24sea0522"
"2026-02-08 11:08:15","27.31","24sea0521","2026-02-08 11:08:15","1968","24sea0522"
"2026-02-08 11:08:23","27.44","24sea0521","2026-02-08 11:08:23","1954","24sea0522"
"2026-02-08 11:09:13","28.25","24sea0521","2026-02-08 11:09:13","1996","24sea0522"
"2026-02-08 11:09:18","28.5","24sea0521","2026-02-08 11:09:18","1998","24sea0522"
"2026-02-08 11:09:23","28.62","24sea0521","2026-02-08 11:09:23","2019","24sea0522"
"2026-02-08 11:09:45","29.19","24sea0521","2026-02-08 11:09:46","2034","24sea0522"
"2026-02-08 11:10:03","29.81","24sea0521","2026-02-08 11:10:03","2064","24sea0522"
"2026-02-08 11:10:29","31","24sea0521","2026-02-08 11:10:29","2118","24sea0522"
"2026-02-08 11:10:32","30.88","24sea0521","2026-02-08 11:10:33","2117","24sea0522"
"2026-02-08 11:10:36","30.88","24sea0521","2026-02-08 11:10:36","2117","24sea0522"
"2026-02-08 11:10:48","31.12","24sea0521","2026-02-08 11:10:49","2133","24sea0522"
"2026-02-08 11:11:02","31.5","24sea0521","2026-02-08 11:11:02","2146","24sea0522"
"2026-02-08 11:11:09","31.69","24sea0521","2026-02-08 11:11:09","2096","24sea0522"
"2026-02-08 11:11:12","31.81","24sea0521","2026-02-08 11:11:13","2160","24sea0522"
"2026-02-08 11:11:15","32","24sea0521","2026-02-08 11:11:16","2181","24sea0522"
"2026-02-08 11:11:19","32.19","24sea0521","2026-02-08 11:11:19","2161","24sea0522"
"2026-02-08 11:11:32","32.63","24sea0521","2026-02-08 11:11:33","2192","24sea0522"
"2026-02-08 11:11:52","33.56","24sea0521","2026-02-08 11:11:53","2219","24sea0522"
"2026-02-08 11:12:11","34.63","24sea0521","2026-02-08 11:12:12","2257","24sea0522"
"2026-02-08 11:12:16","34.69","24sea0521","2026-02-08 11:12:16","2263","24sea0522"
"2026-02-08 11:12:51","36.63","24sea0521","2026-02-08 11:12:52","2369","24sea0522"
"2026-02-08 11:12:59","37.44","24sea0521","2026-02-08 11:13:00","2371","24sea0522"
"2026-02-08 11:13:02","37.69","24sea0521","2026-02-08 11:13:03","2390","24sea0522"
"2026-02-08 11:13:06","37.94","24sea0521","2026-02-08 11:13:07","2403","24sea0522"
"2026-02-08 11:13:09","38.13","24sea0521","2026-02-08 11:13:10","2416","24sea0522"
"2026-02-08 11:13:13","38.38","24sea0521","2026-02-08 11:13:14","2419","24sea0522"
"2026-02-08 11:13:17","38.56","24sea0521","2026-02-08 11:13:17","2427","24sea0522"
"2026-02-08 11:13:21","38.88","24sea0521","2026-02-08 11:13:21","2449","24sea0522"
"2026-02-08 11:13:24","39.06","24sea0521","2026-02-08 11:13:25","2447","24sea0522"
"2026-02-08 11:14:00","41.19","24sea0521","2026-02-08 11:14:00","2509","24sea0522"
"2026-02-08 11:14:07","41.69","24sea0521","2026-02-08 11:14:07","2534","24sea0522"
"2026-02-08 11:14:18","42.19","24sea0521","2026-02-08 11:14:19","2559","24sea0522"
"2026-02-08 11:14:27","42.62","24sea0521","2026-02-08 11:14:28","2559","24sea0522"
"2026-02-08 11:14:37","43.25","24sea0521","2026-02-08 11:14:38","2590","24sea0522"
"2026-02-08 11:14:42","43.44","24sea0521","2026-02-08 11:14:43","2609","24sea0522"
"2026-02-08 11:14:45","43.69","24sea0521","2026-02-08 11:14:46","2611","24sea0522"
"2026-02-08 11:14:49","43.94","24sea0521","2026-02-08 11:14:50","2621","24sea0522"
"2026-02-08 11:14:52","44.13","24sea0521","2026-02-08 11:14:53","2621","24sea0522"
"2026-02-08 11:14:55","44.25","24sea0521","2026-02-08 11:14:56","2631","24sea0522"
"2026-02-08 11:14:59","44.38","24sea0521","2026-02-08 11:14:59","2627","24sea0522"
"2026-02-08 11:15:03","44.56","24sea0521","2026-02-08 11:15:03","2661","24sea0522"
"2026-02-08 11:15:06","44.81","24sea0521","2026-02-08 11:15:06","2650","24sea0522"
"2026-02-08 11:15:10","45","24sea0521","2026-02-08 11:15:11","2655","24sea0522"
"2026-02-08 11:15:25","45.94","24sea0521","2026-02-08 11:15:26","2675","24sea0522"
"2026-02-08 11:15:48","47.56","24sea0521","2026-02-08 11:15:49","2767","24sea0522"
"2026-02-08 11:15:54","48","24sea0521","2026-02-08 11:15:54","2741","24sea0522"
"2026-02-08 11:15:58","48.19","24sea0521","2026-02-08 11:15:58","2768","24sea0522"
"2026-02-08 11:16:01","48.44","24sea0521","2026-02-08 11:16:02","2768","24sea0522"
"2026-02-08 11:16:05","48.81","24sea0521","2026-02-08 11:16:05","2771","24sea0522"
"2026-02-08 11:16:08","48.94","24sea0521","2026-02-08 11:16:08","2800","24sea0522"
"2026-02-08 11:16:12","49.19","24sea0521","2026-02-08 11:16:13","2802","24sea0522"
"2026-02-08 11:16:36","50.69","24sea0521","2026-02-08 11:16:36","2847","24sea0522"
"2026-02-08 11:16:58","52.13","24sea0521","2026-02-08 11:16:58","2899","24sea0522"
"2026-02-08 11:17:08","52.31","24sea0521","2026-02-08 11:17:08","2880","24sea0522"
"2026-02-08 11:17:46","55.19","24sea0521","2026-02-08 11:17:47","2982","24sea0522"
"2026-02-08 11:17:53","55.56","24sea0521","2026-02-08 11:17:54","2994","24sea0522"
"2026-02-08 11:18:04","56.06","24sea0521","2026-02-08 11:18:05","3013","24sea0522"
"2026-02-08 11:18:08","56.5","24sea0521","2026-02-08 11:18:08","3015","24sea0522"
"2026-02-08 11:18:11","56.63","24sea0521","2026-02-08 11:18:12","3020","24sea0522"
"2026-02-08 11:18:20","57.25","24sea0521","2026-02-08 11:18:21","3061","24sea0522"
"2026-02-08 11:18:30","58","24sea0521","2026-02-08 11:18:31","3037","24sea0522"
"2026-02-08 11:18:38","58.25","24sea0521","2026-02-08 11:18:38","3054","24sea0522"
"2026-02-08 11:18:45","58.69","24sea0521","2026-02-08 11:18:45","3085","24sea0522"
